entrez_id,name,locus_group,locus_type,location,gene_family,gene_family_id,id,Start Chromossome,Start Chromossome Arm,Start Chromossome Loc,Start Chromossome SubLoc,End Chromossome Arm,End Chromossome Loc,End Chromossome SubLoc
638.0,BCL2-interacting killer,protein-coding gene,gene with protein product,22q13.31,,,1051,22,q,13,31,,,
274.0,bridging integrator 1,protein-coding gene,gene with protein product,2q14,,,1052,2,q,14,,,,
51411.0,bridging integrator 2,protein-coding gene,gene with protein product,12q13.13,,,1053,12,q,13,13,,,
329.0,baculoviral IAP repeat containing 2,protein-coding gene,gene with protein product,11q22,Ring finger proteins|Baculoviral IAP repeat containing|Caspase recruitment domain containing,58|419|959,590,11,q,22,,,,
105221694.0,BST2 interferon stimulated positive regulator (non-protein coding),non-coding RNA,"RNA, long non-coding",19p13.11,Long non-coding RNAs,788,51290,19,p,13,11,,,
10904.0,bladder cancer associated protein,protein-coding gene,gene with protein product,20q11.23,,,1055,20,q,11,23,,,
641.0,Bloom syndrome RecQ like helicase,protein-coding gene,gene with protein product,15q26.1,RecQ like helicases,1049,1058,15,q,26,1,,,
2647.0,biogenesis of lysosomal organelles complex 1 subunit 1,protein-coding gene,gene with protein product,12q13-q14,Biogenesis of lysosomal organelles complex 1 |BLOC-1 related complex,452|1048,4200,12,q,13,,q,,
26258.0,biogenesis of lysosomal organelles complex 1 subunit 6,protein-coding gene,gene with protein product,15q21.1,Biogenesis of lysosomal organelles complex 1,452,8549,15,q,21,1,,,
644.0,biliverdin reductase A,protein-coding gene,gene with protein product,7p13,,,1062,7,p,13,,,,
645.0,biliverdin reductase B,protein-coding gene,gene with protein product,19q13.1-q13.2,Short chain dehydrogenase/reductase superfamily,743,1063,19,q,13,1,q,13,2
648.0,"BMI1 proto-oncogene, polycomb ring finger",protein-coding gene,gene with protein product,10p13,Ring finger proteins|Polycomb group ring fingers,58|61,1066,10,p,13,,,,
100127902.0,"BMI1 proto-oncogene, polycomb ring finger pseudogene 1",pseudogene,pseudogene,Xq12,,,51428,12,,12,,,,
652.0,bone morphogenetic protein 4,protein-coding gene,gene with protein product,14q22-q23,Bone morphogenetic proteins|Endogenous ligands,455|542,1071,14,q,22,,q,,
653.0,bone morphogenetic protein 5,protein-coding gene,gene with protein product,6p12.1,Bone morphogenetic proteins|Endogenous ligands,455|542,1072,6,p,12,1,,,
656.0,bone morphogenetic protein 8b,protein-coding gene,gene with protein product,1p35-p32,Bone morphogenetic proteins|Endogenous ligands,455|542,1075,1,p,35,,p,,
646.0,basonuclin 1,protein-coding gene,gene with protein product,15q25.1,Zinc fingers C2H2-type,28,1081,15,q,25,1,,,
662.0,BCL2/adenovirus E1B 19kDa interacting protein 1,protein-coding gene,gene with protein product,5q35.1,SNAREs,1124,1082,5,q,35,1,,,
100129468.0,biorientation of chromosomes in cell division 1 pseudogene 1,pseudogene,pseudogene,18p11.31,,,51435,18,p,11,31,,,
54785.0,BLOC-1 related complex subunit 6,protein-coding gene,gene with protein product,17p13.1,BLOC-1 related complex,1048,25939,17,p,13,1,,,
119032.0,BLOC-1 related complex subunit 7,protein-coding gene,gene with protein product,10q24.33,BLOC-1 related complex,1048,23516,10,q,24,33,,,
2186.0,bromodomain PHD finger transcription factor,protein-coding gene,gene with protein product,17q24,PHD finger proteins,88,3581,17,q,24,,,,
100421311.0,BRCA1/BRCA2-containing complex subunit 3 pseudogene 1,pseudogene,pseudogene,5q35.2,,,51444,5,q,35,2,,,
6046.0,bromodomain containing 2,protein-coding gene,gene with protein product,6p21.3,,,1103,6,p,21,3,,,
65980.0,bromodomain containing 9,protein-coding gene,gene with protein product,5p15.33,,,25818,5,p,15,33,,,
643486.0,bromodomain testis associated pseudogene 1,pseudogene,pseudogene,Xq21.33,,,51447,21,,21,33,,,
9577.0,brain and reproductive organ-expressed (TNFRSF1A modulator),protein-coding gene,gene with protein product,2p23,,,1106,2,p,23,,,,
25798.0,brain protein I3,protein-coding gene,gene with protein product,7q21.3,,,1109,7,q,21,3,,,
100422268.0,"BRX1, biogenesis of ribosomes pseudogene 1",pseudogene,pseudogene,8q11.22,,,51527,8,q,11,22,,,
55845.0,"BRICK1, SCAR/WAVE actin nucleating complex subunit",protein-coding gene,gene with protein product,3p25.3,,,23057,3,p,25,3,,,
680.0,bombesin like receptor 3,protein-coding gene,gene with protein product,Xq26.3,Bombesin receptors,222,1113,26,,26,3,,,
106480688.0,bromodomain and WD repeat domain containing 1 pseudogene 3,pseudogene,pseudogene,7p21.1,,,51530,7,p,21,1,,,
682.0,basigin (Ok blood group),protein-coding gene,gene with protein product,19p13.3,Blood group antigens|CD molecules|I-set domain containing|Immunoglobulin-like domain containing,454|471|593|594,1116,19,p,13,3,,,
684.0,bone marrow stromal cell antigen 2,protein-coding gene,gene with protein product,19p13.2,CD molecules,471,1119,19,p,13,2,,,
53339.0,BTB domain containing 1,protein-coding gene,gene with protein product,15q24,BTB domain containing,861,1120,15,q,24,,,,
646330.0,BTB domain containing 6 pseudogene 1,pseudogene,pseudogene,1p36.11,,,51542,1,p,36,11,,,
149478.0,BTB domain containing 19,protein-coding gene,gene with protein product,1p34.1,BTB domain containing,861,27145,1,p,34,1,,,
100499261.0,basic transcription factor 3 pseudogene 6,pseudogene,pseudogene,21q22.11,,,23765,21,q,22,11,,,
132556.0,basic transcription factor 3 pseudogene 13,pseudogene,pseudogene,4q23,,,1128,4,q,23,,,,
7832.0,BTG family member 2,protein-coding gene,gene with protein product,1q32,,,1131,1,q,32,,,,
695.0,Bruton tyrosine kinase,protein-coding gene,gene with protein product,Xq21.33-q22,Pleckstrin homology domain containing|SH2 domain containing,682|741,1133,21,,21,33,q,,
11120.0,butyrophilin subfamily 2 member A1,protein-coding gene,gene with protein product,6p22.1,Butyrophilins|V-set domain containing|C2-set domain containing,458|590|592,1136,6,p,22,1,,,
10385.0,butyrophilin subfamily 2 member A2,protein-coding gene,gene with protein product,6p22.1,Butyrophilins|V-set domain containing|C2-set domain containing,458|590|592,1137,6,p,22,1,,,
11119.0,butyrophilin subfamily 3 member A1,protein-coding gene,gene with protein product,6p22.1,Butyrophilins|CD molecules|V-set domain containing|C2-set domain containing,458|471|590|592,1138,6,p,22,1,,,
11118.0,butyrophilin subfamily 3 member A2,protein-coding gene,gene with protein product,6p22.1,Butyrophilins|V-set domain containing,458|590,1139,6,p,22,1,,,
56244.0,butyrophilin like 2,protein-coding gene,gene with protein product,6p21.3,Butyrophilins|V-set domain containing|C2-set domain containing,458|590|592,1142,6,p,21,3,,,
10917.0,butyrophilin like 3,protein-coding gene,gene with protein product,5q35,Butyrophilins|V-set domain containing,458|590,1143,5,q,35,,,,
701.0,BUB1 mitotic checkpoint serine/threonine kinase B,protein-coding gene,gene with protein product,15q15,,,1149,15,q,15,,,,
106480331.0,BUD31 homolog pseudogene 1,pseudogene,pseudogene,8p12,,,51561,8,p,12,,,,
11149.0,blood vessel epicardial substance,protein-coding gene,gene with protein product,6q21,,,1152,6,q,21,,,,
712.0,"complement component 1, q subcomponent, A chain",protein-coding gene,gene with protein product,1p36.3-p34.1,Complement system,492,1241,1,p,36,3,p,34,1
54098.0,"complement component 1, q subcomponent binding protein, pseudogene 1",pseudogene,pseudogene,21q21.1,,,1244,21,q,21,1,,,
106480353.0,"complement component 1, q subcomponent-like 1 pseudogene 1",pseudogene,pseudogene,16p11.1,,,51809,16,p,11,1,,,
25966.0,C2 calcium-dependent domain containing 2,protein-coding gene,gene with protein product,21q22.3,C2 domain containing,823,1266,21,q,22,3,,,
54980.0,chromosome 2 open reading frame 42,protein-coding gene,gene with protein product,2p14,,,26056,2,p,14,,,,
727859.0,"complement component 4 binding protein, alpha pseudogene 1",pseudogene,pseudogene,1q32,,,1326,1,q,32,,,,
724.0,"complement component 4 binding protein, alpha pseudogene 2",pseudogene,pseudogene,1q32,,,1327,1,q,32,,,,
54969.0,chromosome 4 open reading frame 27,protein-coding gene,gene with protein product,4q33,,,26051,4,q,33,,,,
221491.0,chromosome 6 open reading frame 1,protein-coding gene,gene with protein product,6p21.3,,,1340,6,p,21,3,,,
731.0,complement component 8 alpha subunit,protein-coding gene,gene with protein product,1p32.2,Complement system,492,1352,1,p,32,2,,,
157657.0,chromosome 8 open reading frame 37,protein-coding gene,gene with protein product,8q22.1,,,27232,8,q,22,1,,,
735.0,complement component 9,protein-coding gene,gene with protein product,5p14-p12,Complement system,492,1358,5,p,14,,p,,
84909.0,chromosome 9 open reading frame 3,protein-coding gene,gene with protein product,9q22,,,1361,9,q,22,,,,
100129722.0,C9orf173 antisense RNA 1,non-coding RNA,"RNA, long non-coding",9q34.3,,,51176,9,q,34,3,,,
83938.0,chromosome 10 open reading frame 11,protein-coding gene,gene with protein product,10q22.3,,,23405,10,q,22,3,,,
414157.0,chromosome 10 open reading frame 62,protein-coding gene,gene with protein product,10q24.2,,,23294,10,q,24,2,,,
79591.0,chromosome 10 open reading frame 76,protein-coding gene,gene with protein product,10q24.32,,,25788,10,q,24,32,,,
53838.0,chromosome 11 open reading frame 24,protein-coding gene,gene with protein product,11q13.2,,,1174,11,q,13,2,,,
54494.0,chromosome 11 open reading frame 71,other,unknown,11q23.2,,,25937,11,q,23,2,,,
57102.0,chromosome 12 open reading frame 4,protein-coding gene,gene with protein product,12p13.3,,,1184,12,p,13,3,,,
79794.0,chromosome 12 open reading frame 49,protein-coding gene,gene with protein product,12q24.22,,,26128,12,q,24,22,,,
11161.0,chromosome 14 open reading frame 1,protein-coding gene,gene with protein product,14q24.3,,,1187,14,q,24,3,,,
51637.0,chromosome 14 open reading frame 166,protein-coding gene,gene with protein product,14q22.1,,,23169,14,q,22,1,,,
101929221.0,C15orf59 antisense RNA 1,non-coding RNA,"RNA, long non-coding",15q24.1,,,51422,15,q,24,1,,,
730094.0,chromosome 16 open reading frame 52,protein-coding gene,gene with protein product,16p12.2,,,27087,16,p,12,2,,,
404550.0,chromosome 16 open reading frame 74,protein-coding gene,gene with protein product,16q24.1,,,23362,16,q,24,1,,,
54058.0,chromosome 21 open reading frame 58,protein-coding gene,gene with protein product,21q22.3,,,1300,21,q,22,3,,,
56683.0,chromosome 21 open reading frame 59,protein-coding gene,gene with protein product,21q22.11,,,1301,21,q,22,11,,,
56245.0,chromosome 21 open reading frame 62,protein-coding gene,gene with protein product,21q22.1,,,1305,21,q,22,1,,,
54067.0,C21orf62 antisense RNA 1,non-coding RNA,"RNA, long non-coding",21q22.11,,,1290,21,q,22,11,,,
759.0,carbonic anhydrase 1,protein-coding gene,gene with protein product,8q21.2,Carbonic anhydrases,460,1368,8,q,21,2,,,
760.0,carbonic anhydrase 2,protein-coding gene,gene with protein product,8q21.2,Carbonic anhydrases,460,1373,8,q,21,2,,,
761.0,carbonic anhydrase 3,protein-coding gene,gene with protein product,8q21.2,Carbonic anhydrases,460,1374,8,q,21,2,,,
762.0,carbonic anhydrase 4,protein-coding gene,gene with protein product,17q23.1,Carbonic anhydrases,460,1375,17,q,23,1,,,
11238.0,carbonic anhydrase 5B,protein-coding gene,gene with protein product,Xp22.1,Carbonic anhydrases,460,1378,22,,22,1,,,
765.0,carbonic anhydrase 6,protein-coding gene,gene with protein product,1p36.2,Carbonic anhydrases,460,1380,1,p,36,2,,,
766.0,carbonic anhydrase 7,protein-coding gene,gene with protein product,16q22.1,Carbonic anhydrases,460,1381,16,q,22,1,,,
767.0,carbonic anhydrase 8,protein-coding gene,gene with protein product,8q12.1,Carbonic anhydrases,460,1382,8,q,12,1,,,
56934.0,carbonic anhydrase 10,protein-coding gene,gene with protein product,17q21,Carbonic anhydrases,460,1369,17,q,21,,,,
51475.0,calcium binding protein 2,protein-coding gene,gene with protein product,11q13.1,EF-hand domain containing,863,1385,11,q,13,1,,,
57010.0,calcium binding protein 4,protein-coding gene,gene with protein product,11q13.2,EF-hand domain containing,863,1386,11,q,13,2,,,
11094.0,calcium channel flower domain containing 1,protein-coding gene,gene with protein product,9q34,,,1365,9,q,34,,,,
774.0,calcium voltage-gated channel subunit alpha1 B,protein-coding gene,gene with protein product,9q34,"Calcium channels, voltage-dependent|EF-hand domain containing",253|863,1389,9,q,34,,,,
775.0,calcium voltage-gated channel subunit alpha1 C,protein-coding gene,gene with protein product,12p13.3,"Calcium channels, voltage-dependent",253,1390,12,p,13,3,,,
777.0,calcium voltage-gated channel subunit alpha1 E,protein-coding gene,gene with protein product,1q25.3,"Calcium channels, voltage-dependent|EF-hand domain containing",253|863,1392,1,q,25,3,,,
778.0,calcium voltage-gated channel subunit alpha1 F,protein-coding gene,gene with protein product,Xp11.23,"Calcium channels, voltage-dependent",253,1393,11,,11,23,,,
8913.0,calcium voltage-gated channel subunit alpha1 G,protein-coding gene,gene with protein product,17q22,"Calcium channels, voltage-dependent",253,1394,17,q,22,,,,
8912.0,calcium voltage-gated channel subunit alpha1 H,protein-coding gene,gene with protein product,16p13.3,"Calcium channels, voltage-dependent",253,1395,16,p,13,3,,,
8911.0,calcium voltage-gated channel subunit alpha1 I,protein-coding gene,gene with protein product,22q13.1,"Calcium channels, voltage-dependent",253,1396,22,q,13,1,,,
782.0,calcium voltage-gated channel auxiliary subunit beta 1,protein-coding gene,gene with protein product,17q12,"Calcium channels, voltage-dependent|Membrane-associated guanylate kinases",253|904,1401,17,q,12,,,,
785.0,calcium voltage-gated channel auxiliary subunit beta 4,protein-coding gene,gene with protein product,2q23.3,"Calcium channels, voltage-dependent|Membrane-associated guanylate kinases",253|904,1404,2,q,23,3,,,
10369.0,calcium voltage-gated channel auxiliary subunit gamma 2,protein-coding gene,gene with protein product,22q13.1,"Calcium channels, voltage-dependent",253,1406,22,q,13,1,,,
10368.0,calcium voltage-gated channel auxiliary subunit gamma 3,protein-coding gene,gene with protein product,16p12.1,"Calcium channels, voltage-dependent",253,1407,16,p,12,1,,,
27092.0,calcium voltage-gated channel auxiliary subunit gamma 4,protein-coding gene,gene with protein product,17q24,"Calcium channels, voltage-dependent",253,1408,17,q,24,,,,
27091.0,calcium voltage-gated channel auxiliary subunit gamma 5,protein-coding gene,gene with protein product,17q24,"Calcium channels, voltage-dependent",253,1409,17,q,24,,,,
794.0,calbindin 2,protein-coding gene,gene with protein product,16q22.2,EF-hand domain containing,863,1435,16,q,22,2,,,
796.0,calcitonin related polypeptide alpha,protein-coding gene,gene with protein product,11p15.2,Endogenous ligands,542,1437,11,p,15,2,,,
799.0,calcitonin receptor,protein-coding gene,gene with protein product,7q21.3,Calcitonin receptors,265,1440,7,q,21,3,,,
51063.0,calcium homeostasis modulator 2,protein-coding gene,gene with protein product,10q24.33,,,23493,10,q,24,33,,,
805.0,"calmodulin 2 (phosphorylase kinase, delta)",protein-coding gene,gene with protein product,2p21.3-p21.1,Endogenous ligands|EF-hand domain containing,542|863,1445,2,p,21,3,p,21,1
806.0,calmodulin 2 pseudogene 2,pseudogene,pseudogene,10q22.1,,,1447,10,q,22,1,,,
807.0,calmodulin 2 pseudogene 3,pseudogene,pseudogene,13q14.11,,,1448,13,q,14,11,,,
810.0,calmodulin like 3,protein-coding gene,gene with protein product,10p15.1,EF-hand domain containing,863,1452,10,p,15,1,,,
8536.0,calcium/calmodulin dependent protein kinase I,protein-coding gene,gene with protein product,3p25.3,,,1459,3,p,25,3,,,
815.0,calcium/calmodulin dependent protein kinase II alpha,protein-coding gene,gene with protein product,5q32,,,1460,5,q,32,,,,
817.0,calcium/calmodulin dependent protein kinase II delta,protein-coding gene,gene with protein product,4q26,,,1462,4,q,26,,,,
818.0,calcium/calmodulin dependent protein kinase II gamma,protein-coding gene,gene with protein product,10q22,,,1463,10,q,22,,,,
84254.0,calcium/calmodulin-dependent protein kinase kinase 1,protein-coding gene,gene with protein product,17p13.3,,,1469,17,p,13,3,,,
79823.0,calmodulin-lysine N-methyltransferase,protein-coding gene,gene with protein product,2p21,,,26276,2,p,21,,,,
819.0,calcium modulating ligand,protein-coding gene,gene with protein product,5q23,,,1471,5,q,23,,,,
822.0,"capping actin protein, gelsolin like",protein-coding gene,gene with protein product,2p11.2,Gelsolin/villins,950,1474,2,p,11,2,,,
823.0,calpain 1,protein-coding gene,gene with protein product,11q13,EF-hand domain containing|Calpains,863|975,1476,11,q,13,,,,
726.0,calpain 5,protein-coding gene,gene with protein product,11q14,C2 domain containing|Calpains,823|975,1482,11,q,14,,,,
829.0,capping actin protein of muscle Z-line alpha subunit 1,protein-coding gene,gene with protein product,1p13.2,,,1488,1,p,13,2,,,
830.0,capping actin protein of muscle Z-line alpha subunit 2,protein-coding gene,gene with protein product,7q31.2-q31.3,,,1490,7,q,31,2,q,31,3
138199.0,carnosine N-methyltransferase 1,protein-coding gene,gene with protein product,9q21.31,,,23435,9,q,21,31,,,
833.0,cysteinyl-tRNA synthetase,protein-coding gene,gene with protein product,11p15.5,"Aminoacyl tRNA synthetases, Class I",131,1493,11,p,15,5,,,
834.0,caspase 1,protein-coding gene,gene with protein product,11q23,Caspases|Caspase recruitment domain containing,468|959,1499,11,q,23,,,,
836.0,caspase 3,protein-coding gene,gene with protein product,4q34,Caspases,468,1504,4,q,34,,,,
840.0,caspase 7,protein-coding gene,gene with protein product,10q25,Caspases,468,1508,10,q,25,,,,
841.0,caspase 8,protein-coding gene,gene with protein product,2q33-q34,Caspases|Death effector domain containing,468|1019,1509,2,q,33,,q,,
844.0,calsequestrin 1,protein-coding gene,gene with protein product,1q21,Protein disulfide isomerases,692,1512,1,q,21,,,,
845.0,calsequestrin 2,protein-coding gene,gene with protein product,1p13.1,Protein disulfide isomerases,692,1513,1,p,13,1,,,
846.0,calcium sensing receptor,protein-coding gene,gene with protein product,3q21.1,Calcium-sensing receptors,279,1514,3,q,21,1,,,
54897.0,castor zinc finger 1,protein-coding gene,gene with protein product,1p36.22,Zinc fingers C2H2-type,28,26002,1,p,36,22,,,
378807.0,cation channel sperm associated 4,protein-coding gene,gene with protein product,1p35.3,Cation channels sperm associated,186,23220,1,p,35,3,,,
858.0,caveolin 2,protein-coding gene,gene with protein product,7q31,,,1528,7,q,31,,,,
9139.0,CBFA2/RUNX1 translocation partner 2,protein-coding gene,gene with protein product,20q11.22,Zinc fingers MYND-type,87,1536,20,q,11,22,,,
869.0,cerebellin 1 precursor,protein-coding gene,gene with protein product,16q12.1,,,1543,16,q,12,1,,,
147381.0,cerebellin 2 precursor,protein-coding gene,gene with protein product,18q22.3,,,1544,18,q,22,3,,,
873.0,carbonyl reductase 1,protein-coding gene,gene with protein product,21q22.1,Short chain dehydrogenase/reductase superfamily,743,1548,21,q,22,1,,,
11335.0,chromobox 3,protein-coding gene,gene with protein product,7p15.2,Chromobox family,976,1553,7,p,15,2,,,
23468.0,chromobox 5,protein-coding gene,gene with protein product,12q13.13,Chromobox family,976,1555,12,q,13,13,,,
23492.0,chromobox 7,protein-coding gene,gene with protein product,22q13.1,Chromobox family,976,1557,22,q,13,1,,,
124808.0,coiled-coil domain containing 43,protein-coding gene,gene with protein product,17q21.31,,,26472,17,q,21,31,,,
60494.0,coiled-coil domain containing 81,protein-coding gene,gene with protein product,11q14.2,,,26281,11,q,14,2,,,
220388.0,coiled-coil domain containing 89,protein-coding gene,gene with protein product,11q14.1,,,26762,11,q,14,1,,,
9720.0,coiled-coil domain containing 144A,protein-coding gene,gene with protein product,17p11.2,,,29072,17,p,11,2,,,
887.0,cholecystokinin B receptor,protein-coding gene,gene with protein product,11p15.4,Cholecystokinin receptors,224,1571,11,p,15,4,,,
6347.0,C-C motif chemokine ligand 2,protein-coding gene,gene with protein product,17q11.2-q21.1,Chemokine ligands|Endogenous ligands,483|542,10618,17,q,11,2,q,21,1
6354.0,C-C motif chemokine ligand 7,protein-coding gene,gene with protein product,17q11.2-q12,Chemokine ligands|Endogenous ligands,483|542,10634,17,q,11,2,q,,
6356.0,C-C motif chemokine ligand 11,protein-coding gene,gene with protein product,17q21.1-q21.2,Chemokine ligands|Endogenous ligands,483|542,10610,17,q,21,1,q,21,2
6357.0,C-C motif chemokine ligand 13,protein-coding gene,gene with protein product,17q11.2,Chemokine ligands|Endogenous ligands,483|542,10611,17,q,11,2,,,
6359.0,C-C motif chemokine ligand 15,protein-coding gene,gene with protein product,17q12,Chemokine ligands|Endogenous ligands,483|542,10613,17,q,12,,,,
6361.0,C-C motif chemokine ligand 17,protein-coding gene,gene with protein product,16q13,Chemokine ligands|Endogenous ligands,483|542,10615,16,q,13,,,,
6362.0,C-C motif chemokine ligand 18,protein-coding gene,gene with protein product,17q12,Chemokine ligands,483,10616,17,q,12,,,,
6363.0,C-C motif chemokine ligand 19,protein-coding gene,gene with protein product,9p13,Chemokine ligands|Endogenous ligands,483|542,10617,9,p,13,,,,
10344.0,C-C motif chemokine ligand 26,protein-coding gene,gene with protein product,7q11.2,Chemokine ligands|Endogenous ligands,483|542,10625,7,q,11,2,,,
8900.0,cyclin A1,protein-coding gene,gene with protein product,13q12.3-q13,Cyclins,473,1577,13,q,12,3,q,,
9133.0,cyclin B2,protein-coding gene,gene with protein product,15q21.3,Cyclins,473,1580,15,q,21,3,,,
892.0,cyclin C,protein-coding gene,gene with protein product,6q21,Cyclins|Mediator complex,473|1061,1581,6,q,21,,,,
595.0,cyclin D1,protein-coding gene,gene with protein product,11q13,Cyclins,473,1582,11,q,13,,,,
894.0,cyclin D2,protein-coding gene,gene with protein product,12p13,Cyclins,473,1583,12,p,13,,,,
897.0,cyclin D3 pseudogene 1,pseudogene,pseudogene,10p11.23,,,1586,10,p,11,23,,,
899.0,cyclin F,protein-coding gene,gene with protein product,16p13.3,Cyclins|F-boxes other,473|560,1591,16,p,13,3,,,
900.0,cyclin G1,protein-coding gene,gene with protein product,5q32-q34,Cyclins,473,1592,5,q,32,,q,,
901.0,cyclin G2,protein-coding gene,gene with protein product,4q21.22,Cyclins,473,1593,4,q,21,22,,,
902.0,cyclin H,protein-coding gene,gene with protein product,5q13.3-q14,Cyclins,473,1594,5,q,13,3,q,,
905.0,cyclin T2,protein-coding gene,gene with protein product,2q21.3,Cyclins,473,1600,2,q,21,3,,,
414194.0,cyclin Y-like 2 (pseudogene),pseudogene,pseudogene,10q11.21,Cyclins,473,23495,10,q,11,21,,,
1230.0,C-C motif chemokine receptor 1,protein-coding gene,gene with protein product,3p21,CD molecules|C-C motif chemokine receptors,471|1091,1602,3,p,21,,,,
1232.0,C-C motif chemokine receptor 3,protein-coding gene,gene with protein product,3p21.3,CD molecules|C-C motif chemokine receptors,471|1091,1604,3,p,21,3,,,
1233.0,C-C motif chemokine receptor 4,protein-coding gene,gene with protein product,3p24-p21.3,CD molecules|C-C motif chemokine receptors,471|1091,1605,3,p,24,3,p,21,3
1235.0,C-C motif chemokine receptor 6,protein-coding gene,gene with protein product,6q27,CD molecules|C-C motif chemokine receptors,471|1091,1607,6,q,27,,,,
1237.0,C-C motif chemokine receptor 8,protein-coding gene,gene with protein product,3p22,CD molecules|C-C motif chemokine receptors,471|1091,1609,3,p,22,,,,
10803.0,C-C motif chemokine receptor 9,protein-coding gene,gene with protein product,3p21.31,CD molecules|C-C motif chemokine receptors,471|1091,1610,3,p,21,31,,,
9034.0,C-C motif chemokine receptor like 2,protein-coding gene,gene with protein product,3p21,Atypical chemokine receptors,1090,1612,3,p,21,,,,
7203.0,chaperonin containing TCP1 subunit 3,protein-coding gene,gene with protein product,1q23,Chaperonins,587,1616,1,q,23,,,,
10575.0,chaperonin containing TCP1 subunit 4,protein-coding gene,gene with protein product,2p15,Chaperonins,587,1617,2,p,15,,,,
22948.0,chaperonin containing TCP1 subunit 5,protein-coding gene,gene with protein product,5p15.2,Chaperonins,587,1618,5,p,15,2,,,
908.0,chaperonin containing TCP1 subunit 6A,protein-coding gene,gene with protein product,7p11.2,Chaperonins,587,1620,7,p,11,2,,,
10693.0,chaperonin containing TCP1 subunit 6B,protein-coding gene,gene with protein product,17q12,Chaperonins,587,1621,17,q,12,,,,
10574.0,chaperonin containing TCP1 subunit 7,protein-coding gene,gene with protein product,2p13.2,Chaperonins,587,1622,2,p,13,2,,,
909.0,CD1a molecule,protein-coding gene,gene with protein product,1q23.1,CD molecules|C1-set domain containing,471|591,1634,1,q,23,1,,,
911.0,CD1c molecule,protein-coding gene,gene with protein product,1q23.1,CD molecules|C1-set domain containing,471|591,1636,1,q,23,1,,,
912.0,CD1d molecule,protein-coding gene,gene with protein product,1q23.1,CD molecules|C1-set domain containing,471|591,1637,1,q,23,1,,,
914.0,CD2 molecule,protein-coding gene,gene with protein product,1p13,CD molecules|V-set domain containing|C2-set domain containing,471|590|592,1639,1,p,13,,,,
10421.0,CD2 (cytoplasmic tail) binding protein 2,protein-coding gene,gene with protein product,16p11.2,Protein phosphatase 1 regulatory subunits,694,1656,16,p,11,2,,,
915.0,CD3d molecule,protein-coding gene,gene with protein product,11q23,CD molecules,471,1673,11,q,23,,,,
916.0,CD3e molecule,protein-coding gene,gene with protein product,11q23,CD molecules,471,1674,11,q,23,,,,
917.0,CD3g molecule,protein-coding gene,gene with protein product,11q23,CD molecules,471,1675,11,q,23,,,,
930.0,CD19 molecule,protein-coding gene,gene with protein product,16p11.2,CD molecules|Immunoglobulin-like domain containing|Minor histocompatibility antigens,471|594|870,1633,16,p,11,2,,,
100133941.0,CD24 molecule,protein-coding gene,gene with protein product,6q21,CD molecules,471,1645,6,q,21,,,,
936.0,CD24 molecule pseudogene 2,pseudogene,pseudogene,15q21.3,,,1647,15,q,21,3,,,
938.0,CD24 molecule pseudogene 4,pseudogene,pseudogene,Yq11.222,,,1649,11,,11,222,,,
940.0,CD28 molecule,protein-coding gene,gene with protein product,2q33,CD molecules|V-set domain containing,471|590,1653,2,q,33,,,,
1043.0,CD52 molecule,protein-coding gene,gene with protein product,1p36,CD molecules,471,1804,1,p,36,,,,
1604.0,CD55 molecule (Cromer blood group),protein-coding gene,gene with protein product,1q32,Blood group antigens|CD molecules|Sushi domain containing,454|471|1179,2665,1,q,32,,,,
401577.0,CD99 molecule pseudogene 1,pseudogene,pseudogene,Xp22.33 and Yp11.31,Pseudoautosomal region 1,715,7083,22,,22,33,,,
9398.0,CD101 molecule,protein-coding gene,gene with protein product,1p13,CD molecules|V-set domain containing|I-set domain containing|Immunoglobulin-like domain containing,471|590|593|594,5949,1,p,13,,,,
977.0,CD151 molecule (Raph blood group),protein-coding gene,gene with protein product,11p15.5,Blood group antigens|CD molecules|Tetraspanins,454|471|768,1630,11,p,15,5,,,
4345.0,CD200 molecule,protein-coding gene,gene with protein product,3q13.2,CD molecules|Immunoglobulin-like domain containing,471|594,7203,3,q,13,2,,,
124599.0,CD300 molecule like family member b,protein-coding gene,gene with protein product,17q25.1,V-set domain containing,590,30811,17,q,25,1,,,
8317.0,cell division cycle 7,protein-coding gene,gene with protein product,1p22,,,1745,1,p,22,,,,
8556.0,cell division cycle 14A,protein-coding gene,gene with protein product,1p21,CDC14 phosphatases,900,1718,1,p,21,,,,
8555.0,cell division cycle 14B,protein-coding gene,gene with protein product,9q22.3,CDC14 phosphatases,900,1719,9,q,22,3,,,
991.0,cell division cycle 20,protein-coding gene,gene with protein product,1p34.1,WD repeat domain containing,362,1723,1,p,34,1,,,
996.0,cell division cycle 27,protein-coding gene,gene with protein product,17q21.32,Anaphase promoting complex |Tetratricopeptide repeat domain containing,402|769,1728,17,q,21,32,,,
997.0,cell division cycle 34,protein-coding gene,gene with protein product,19p13.3,Ubiquitin conjugating enzymes E2,102,1734,19,p,13,3,,,
11140.0,cell division cycle 37,protein-coding gene,gene with protein product,19p13.2,,,1735,19,p,13,2,,,
998.0,cell division cycle 42,protein-coding gene,gene with protein product,1p36.1,Rho family GTPases,390,1736,1,p,36,1,,,
8476.0,CDC42 binding protein kinase alpha,protein-coding gene,gene with protein product,1q42.11,,,1737,1,q,42,11,,,
