,Gene ID,hgnc_id,name,locus_group,locus_type,location,gene_family,gene_family_id,Start Chromossome,Start Chromossome Arm,Start Chromossome Loc,Start Chromossome SubLoc,End Chromossome Arm,End Chromossome Loc,End Chromossome SubLoc
2002,10350,HGNC:39,ATP binding cassette subfamily A member 9,protein-coding gene,gene with protein product,17q24,ATP binding cassette subfamily A,805,17,q,24,,,,
2003,10351,HGNC:38,ATP binding cassette subfamily A member 8,protein-coding gene,gene with protein product,17q24,ATP binding cassette subfamily A,805,17,q,24,,,,
2004,10457,HGNC:4462,glycoprotein nmb,protein-coding gene,gene with protein product,7p,,,7,p,,,,,
2005,10631,HGNC:16953,periostin,protein-coding gene,gene with protein product,13q13.3,,,13,q,13,3,,,
2006,10714,HGNC:20932,"polymerase (DNA) delta 3, accessory subunit",protein-coding gene,gene with protein product,11q14,"Polymerases, DNA-directed|Protein phosphatase 1 regulatory subunits",535|694,11,q,14,,,,
2007,11171,HGNC:30796,serine/threonine kinase receptor associated protein,protein-coding gene,gene with protein product,12p13.1,WD repeat domain containing,362,12,p,13,1,,,
2008,11197,HGNC:18081,WNT inhibitory factor 1,protein-coding gene,gene with protein product,12q14.2,,,12,q,14,2,,,
2009,11257,HGNC:17026,TP53 target 1 (non-protein coding),non-coding RNA,"RNA, long non-coding",7q21.1,Long non-coding RNAs,788,7,q,21,1,,,
2010,116135,HGNC:28105,leucine rich repeat containing 3B,protein-coding gene,gene with protein product,3p24,,,3,p,24,,,,
2011,1294,HGNC:2214,collagen type VII alpha 1,protein-coding gene,gene with protein product,3p21.1,Collagens|Fibronectin type III domain containing,490|555,3,p,21,1,,,
2012,135228,HGNC:21685,CD109 molecule,protein-coding gene,gene with protein product,6q14.1,"CD molecules|C3 and PZP like, alpha-2-macroglobulin domain containing",471|1234,6,q,14,1,,,
2013,140628,HGNC:15802,GATA binding protein 5,protein-coding gene,gene with protein product,20q13.33,GATA zinc finger domain containing,82,20,q,13,33,,,
2014,148266,HGNC:24737,zinc finger protein 569,protein-coding gene,gene with protein product,19q13.12,Zinc fingers C2H2-type,28,19,q,13,12,,,
2015,1487,HGNC:2494,C-terminal binding protein 1,protein-coding gene,gene with protein product,4p16,,,4,p,16,,,,
2016,150000,HGNC:16022,ATP binding cassette subfamily C member 13 (pseudogene),pseudogene,pseudogene,21q11.2,ATP binding cassette subfamily C,807,21,q,11,2,,,
2017,1545,HGNC:2597,cytochrome P450 family 1 subfamily B member 1,protein-coding gene,gene with protein product,2p22.2,Cytochrome P450 family 1,1000,2,p,22,2,,,
2018,154664,HGNC:14638,ATP binding cassette subfamily A member 13,protein-coding gene,gene with protein product,7p12.3,ATP binding cassette subfamily A,805,7,p,12,3,,,
2019,1630,HGNC:2701,DCC netrin 1 receptor,protein-coding gene,gene with protein product,18q21.1,Fibronectin type III domain containing|I-set domain containing|Immunoglobulin-like domain containing,555|593|594,18,q,21,1,,,
2020,1890,HGNC:3148,thymidine phosphorylase,protein-coding gene,gene with protein product,22q13,Minor histocompatibility antigens,870,22,q,13,,,,
2021,201163,HGNC:27310,folliculin,protein-coding gene,gene with protein product,17p11.2,DENN/MADD domain containing,504,17,p,11,2,,,
2022,2041,HGNC:3385,EPH receptor A1,protein-coding gene,gene with protein product,7q32-q36,Fibronectin type III domain containing|Sterile alpha motif (SAM) domain containing|EPH receptors,555|760|1095,7,q,32,,q,,
2023,2070,HGNC:3522,EYA transcriptional coactivator and phosphatase 4,protein-coding gene,gene with protein product,6q23,EYA transcriptional coactivator and phosphatases,1044,6,q,23,,,,
2024,21,HGNC:33,ATP binding cassette subfamily A member 3,protein-coding gene,gene with protein product,16p13.3,ATP binding cassette subfamily A,805,16,p,13,3,,,
2025,2199,HGNC:3601,fibulin 2,protein-coding gene,gene with protein product,3p25-p24,Fibulins,556,3,p,25,,p,,
2026,2201,HGNC:3604,fibrillin 2,protein-coding gene,gene with protein product,5q23.3,,,5,q,23,3,,,
2027,221687,HGNC:28522,ring finger protein 182,protein-coding gene,gene with protein product,6p23,Ring finger proteins,58,6,p,23,,,,
2028,2237,HGNC:3650,flap structure-specific endonuclease 1,protein-coding gene,gene with protein product,11q12,,,11,q,12,,,,
2029,225,HGNC:66,ATP binding cassette subfamily D member 2,protein-coding gene,gene with protein product,12q12,ATP binding cassette subfamily D,808,12,q,12,,,,
2030,22843,HGNC:19322,"protein phosphatase, Mg2+/Mn2+ dependent 1E",protein-coding gene,gene with protein product,17q24.2,"Protein phosphatases, Mg2+/Mn2+ dependent",701,17,q,24,2,,,
2031,22854,HGNC:23319,netrin G1,protein-coding gene,gene with protein product,1p13.2-p13.1,Netrins,661,1,p,13,2,p,13,1
2032,23036,HGNC:18410,zinc finger protein 292,protein-coding gene,gene with protein product,6q15,Zinc fingers C2H2-type,28,6,q,15,,,,
2033,2318,HGNC:3756,filamin C,protein-coding gene,gene with protein product,7q32-q35,,,7,q,32,,q,,
2034,23456,HGNC:41,ATP binding cassette subfamily B member 10,protein-coding gene,gene with protein product,1q32,ATP binding cassette subfamily B,806,1,q,32,,,,
2035,23460,HGNC:36,ATP binding cassette subfamily A member 6,protein-coding gene,gene with protein product,17q21,ATP binding cassette subfamily A,805,17,q,21,,,,
2036,23461,HGNC:35,ATP binding cassette subfamily A member 5,protein-coding gene,gene with protein product,17q24.3,ATP binding cassette subfamily A,805,17,q,24,3,,,
2037,24,HGNC:34,ATP binding cassette subfamily A member 4,protein-coding gene,gene with protein product,1p22,ATP binding cassette subfamily A,805,1,p,22,,,,
2038,256536,HGNC:23533,transcription elongation regulator 1 like,protein-coding gene,gene with protein product,10q26.3,,,10,q,26,3,,,
2039,26038,HGNC:16816,chromodomain helicase DNA binding protein 5,protein-coding gene,gene with protein product,1p36.3,PHD finger proteins,88,1,p,36,3,,,
2040,26154,HGNC:14637,ATP binding cassette subfamily A member 12,protein-coding gene,gene with protein product,2q34,ATP binding cassette subfamily A,805,2,q,34,,,,
2041,26256,HGNC:15569,calcium binding tyrosine phosphorylation regulated,protein-coding gene,gene with protein product,18q11.2,,,18,q,11,2,,,
2042,27151,HGNC:23228,"C3 and PZP like, alpha-2-macroglobulin domain containing 8",protein-coding gene,gene with protein product,19p13.12,"C3 and PZP like, alpha-2-macroglobulin domain containing",1234,19,p,13,12,,,
2043,284217,HGNC:6481,laminin subunit alpha 1,protein-coding gene,gene with protein product,18p11.3,Laminin subunits,626,18,p,11,3,,,
2044,2879,HGNC:4556,glutathione peroxidase 4,protein-coding gene,gene with protein product,19p13.3,,,19,p,13,3,,,
2045,2894,HGNC:4575,glutamate ionotropic receptor delta type subunit 1,protein-coding gene,gene with protein product,10q22,Glutamate ionotropic receptor delta type subunits,1202,10,q,22,,,,
2046,2903,HGNC:4585,glutamate ionotropic receptor NMDA type subunit 2A,protein-coding gene,gene with protein product,16p13.2,Glutamate ionotropic receptor NMDA type subunits,1201,16,p,13,2,,,
2047,2977,HGNC:4684,"guanylate cyclase 1, soluble, alpha 2",protein-coding gene,gene with protein product,11q21-q22,"Guanylate cyclases, soluble",820,11,q,21,,q,,
2048,2984,HGNC:4688,guanylate cyclase 2C,protein-coding gene,gene with protein product,12p12,Guanylate cyclase receptors,343,12,p,12,,,,
2049,30833,HGNC:17144,"5', 3'-nucleotidase, cytosolic",protein-coding gene,gene with protein product,17q25,5'-nucleotidases,1042,17,q,25,,,,
2050,3231,HGNC:5132,homeobox D1,protein-coding gene,gene with protein product,2q31.1,HOXL subclass homeoboxes,518,2,q,31,1,,,
2051,3235,HGNC:5140,homeobox D9,protein-coding gene,gene with protein product,2q31.1,HOXL subclass homeoboxes,518,2,q,31,1,,,
2052,332,HGNC:593,baculoviral IAP repeat containing 5,protein-coding gene,gene with protein product,17q25.3,Baculoviral IAP repeat containing,419,17,q,25,3,,,
2053,340273,HGNC:46,ATP binding cassette subfamily B member 5,protein-coding gene,gene with protein product,7p14,ATP binding cassette subfamily B,806,7,p,14,,,,
2054,368,HGNC:57,ATP binding cassette subfamily C member 6,protein-coding gene,gene with protein product,16p13.11,ATP binding cassette subfamily C,807,16,p,13,11,,,
2055,3992,HGNC:3574,fatty acid desaturase 1,protein-coding gene,gene with protein product,11q12-q13.1,Fatty acid desaturases,553,11,q,12,1,q,13,1
2056,406900,HGNC:31495,microRNA 106b,non-coding RNA,"RNA, micro",7q22.1,MicroRNAs,476,7,q,22,1,,,
2057,406920,HGNC:31515,microRNA 130b,non-coding RNA,"RNA, micro",22,MicroRNAs,476,22,,,,,,
2058,407050,HGNC:31645,microRNA 93,non-coding RNA,"RNA, micro",7q22.1,MicroRNAs,476,7,q,22,1,,,
2059,4092,HGNC:6773,SMAD family member 7,protein-coding gene,gene with protein product,18q21.1,SMAD family,750,18,q,21,1,,,
2060,4363,HGNC:51,ATP binding cassette subfamily C member 1,protein-coding gene,gene with protein product,16p13.1,ATP binding cassette subfamily C,807,16,p,13,1,,,
2061,4830,HGNC:7849,NME/NM23 nucleoside diphosphate kinase 1,protein-coding gene,gene with protein product,17q21.33,NME/NM23 family,961,17,q,21,33,,,
2062,51466,HGNC:20234,Enah/Vasp-like,protein-coding gene,gene with protein product,14q32.2,ENAH/VASPs,946,14,q,32,2,,,
2063,5157,HGNC:8805,platelet derived growth factor receptor like,protein-coding gene,gene with protein product,8p22-p21.3,I-set domain containing|Immunoglobulin-like domain containing,593|594,8,p,22,3,p,21,3
2064,5244,HGNC:45,ATP binding cassette subfamily B member 4,protein-coding gene,gene with protein product,7q21,ATP binding cassette subfamily B,806,7,q,21,,,,
2065,5268,HGNC:8949,serpin family B member 5,protein-coding gene,gene with protein product,18q21.33,Serpin peptidase inhibitors,739,18,q,21,33,,,
2066,5320,HGNC:9031,phospholipase A2 group IIA,protein-coding gene,gene with protein product,1p35,Phospholipases,467,1,p,35,,,,
2067,5424,HGNC:9175,"polymerase (DNA) delta 1, catalytic subunit",protein-coding gene,gene with protein product,19q13.3,"Polymerases, DNA-directed",535,19,q,13,3,,,
2068,5426,HGNC:9177,"polymerase (DNA) epsilon, catalytic subunit",protein-coding gene,gene with protein product,12q24.3,"Polymerases, DNA-directed",535,12,q,24,3,,,
2069,54436,HGNC:26009,SH3 domain and tetratricopeptide repeats 1,protein-coding gene,gene with protein product,4p16.1,Tetratricopeptide repeat domain containing,769,4,p,16,1,,,
2070,54739,HGNC:30932,XIAP associated factor 1,protein-coding gene,gene with protein product,17p13.2,,,17,p,13,2,,,
2071,54822,HGNC:17994,transient receptor potential cation channel subfamily M member 7,protein-coding gene,gene with protein product,15q21,Transient receptor potential cation channels,249,15,q,21,,,,
2072,55356,HGNC:20301,solute carrier family 22 member 15,protein-coding gene,gene with protein product,1p12,Solute carriers,752,1,p,12,,,,
2073,5579,HGNC:9395,protein kinase C beta,protein-coding gene,gene with protein product,16p12,C2 domain containing protein kinases,835,16,p,12,,,,
2074,57016,HGNC:382,"aldo-keto reductase family 1, member B10 (aldose reductase)",protein-coding gene,gene with protein product,7q33,Aldo-keto reductases,399,7,q,33,,,,
2075,57338,HGNC:14203,junctophilin 3,protein-coding gene,gene with protein product,16q24.3,Trinucleotide repeat containing,775,16,q,24,3,,,
2076,5795,HGNC:9673,"protein tyrosine phosphatase, receptor type J",protein-coding gene,gene with protein product,11p11.2,"CD molecules|Fibronectin type III domain containing|Protein tyrosine phosphatases, receptor type",471|555|813,11,p,11,2,,,
2077,5826,HGNC:68,ATP binding cassette subfamily D member 4,protein-coding gene,gene with protein product,14q24,ATP binding cassette subfamily D,808,14,q,24,,,,
2078,59345,HGNC:20731,G protein subunit beta 4,protein-coding gene,gene with protein product,3q27.1,WD repeat domain containing,362,3,q,27,1,,,
2079,59352,HGNC:19719,leucine-rich repeat containing G protein-coupled receptor 6,protein-coding gene,gene with protein product,1q32.1,"G protein-coupled receptors, Class A orphans",262,1,q,32,1,,,
2080,5979,HGNC:9967,ret proto-oncogene,protein-coding gene,gene with protein product,10q11.2,Cadherin-related|Receptor Tyrosine Kinases,24|321,10,q,11,2,,,
2081,6059,HGNC:69,ATP binding cassette subfamily E member 1,protein-coding gene,gene with protein product,4q31,ATP binding cassette subfamily E,809,4,q,31,,,,
2082,6241,HGNC:10452,ribonucleotide reductase regulatory subunit M2,protein-coding gene,gene with protein product,2p25-p24,,,2,p,25,,p,,
2083,6414,HGNC:10751,"selenoprotein P, plasma, 1",protein-coding gene,gene with protein product,5q31,,,5,q,31,,,,
2084,6422,HGNC:10776,secreted frizzled-related protein 1,protein-coding gene,gene with protein product,8p11.21,Secreted frizzled-related proteins,733,8,p,11,21,,,
2085,6423,HGNC:10777,secreted frizzled-related protein 2,protein-coding gene,gene with protein product,4q31.3,Secreted frizzled-related proteins,733,4,q,31,3,,,
2086,6424,HGNC:10778,secreted frizzled related protein 4,protein-coding gene,gene with protein product,7p14.1,Secreted frizzled-related proteins,733,7,p,14,1,,,
2087,6425,HGNC:10779,secreted frizzled-related protein 5,protein-coding gene,gene with protein product,10q24,Secreted frizzled-related proteins,733,10,q,24,,,,
2088,64321,HGNC:18122,SRY-box 17,protein-coding gene,gene with protein product,8q11.23,SRY (sex determining region Y)-boxes,757,8,q,11,23,,,
2089,64359,HGNC:18008,nucleoredoxin,protein-coding gene,gene with protein product,17p13,,,17,p,13,,,,
2090,6447,HGNC:10816,secretogranin V,protein-coding gene,gene with protein product,15q13-q14,Granins,925,15,q,13,,q,,
2091,6573,HGNC:10937,solute carrier family 19 member 1,protein-coding gene,gene with protein product,21q22.3,Solute carriers|Minor histocompatibility antigens,752|870,21,q,22,3,,,
2092,66037,HGNC:14273,"boule homolog, RNA binding protein",protein-coding gene,gene with protein product,2q33,RNA binding motif containing,725,2,q,33,,,,
2093,668,HGNC:1092,forkhead box L2,protein-coding gene,gene with protein product,3q23,Forkhead boxes,508,3,q,23,,,,
2094,6790,HGNC:11393,aurora kinase A,protein-coding gene,gene with protein product,20q13,Protein phosphatase 1 regulatory subunits,694,20,q,13,,,,
2095,6833,HGNC:59,ATP binding cassette subfamily C member 8,protein-coding gene,gene with protein product,11p15.1,ATP binding cassette subfamily C,807,11,p,15,1,,,
2096,6948,HGNC:11653,transcobalamin 2,protein-coding gene,gene with protein product,22q12.2,,,22,q,12,2,,,
2097,7046,HGNC:11772,transforming growth factor beta receptor I,protein-coding gene,gene with protein product,9q22,Type I receptor serine/threonine kinases,345,9,q,22,,,,
2098,7083,HGNC:11830,thymidine kinase 1,protein-coding gene,gene with protein product,17q23.2-q25.3,,,17,q,23,2,q,25,3
2099,7372,HGNC:12563,uridine monophosphate synthetase,protein-coding gene,gene with protein product,3q13,,,3,q,13,,,,
2100,7374,HGNC:12572,uracil DNA glycosylase,protein-coding gene,gene with protein product,12q23-q24.1,DNA glycosylases,1024,12,q,23,1,q,24,1
2101,7849,HGNC:8622,paired box 8,protein-coding gene,gene with protein product,2q13,PRD class homeoboxes and pseudogenes|Paired boxes,521|675,2,q,13,,,,
2102,79695,HGNC:19877,polypeptide N-acetylgalactosaminyltransferase 12,protein-coding gene,gene with protein product,9q22.33,Polypeptide N-acetylgalactosaminyltransferases,433,9,q,22,33,,,
2103,80317,HGNC:13853,zinc finger with KRAB and SCAN domains 3,protein-coding gene,gene with protein product,6p22.1,Zinc fingers C2H2-type,28,6,p,22,1,,,
2104,811,HGNC:1455,calreticulin,protein-coding gene,gene with protein product,19p13.13,,,19,p,13,13,,,
2105,8313,HGNC:904,axin 2,protein-coding gene,gene with protein product,17q24.1,,,17,q,24,1,,,
2106,85415,HGNC:19974,"rhophilin, Rho GTPase binding protein 2",protein-coding gene,gene with protein product,19q13.12,PDZ domain containing,1220,19,q,13,12,,,
2107,8647,HGNC:42,ATP binding cassette subfamily B member 11,protein-coding gene,gene with protein product,2q24,ATP binding cassette subfamily B,806,2,q,24,,,,
2108,8667,HGNC:3273,eukaryotic translation initiation factor 3 subunit H,protein-coding gene,gene with protein product,8q24.11,Eukaryotic translation initiation factor 3,1121,8,q,24,11,,,
2109,8741,HGNC:11928,tumor necrosis factor superfamily member 13,protein-coding gene,gene with protein product,17p13.1,CD molecules|Tumor necrosis factor superfamily,471|781,17,p,13,1,,,
2110,8842,HGNC:9454,prominin 1,protein-coding gene,gene with protein product,4p15,CD molecules,471,4,p,15,,,,
2111,8991,HGNC:10719,selenium binding protein 1,protein-coding gene,gene with protein product,1q21.3,,,1,q,21,3,,,
2112,9148,HGNC:7761,neuralized E3 ubiquitin protein ligase 1,protein-coding gene,gene with protein product,10q25.1,Ring finger proteins,58,10,q,25,1,,,
2113,9156,HGNC:3511,exonuclease 1,protein-coding gene,gene with protein product,1q43,Exonucleases,544,1,q,43,,,,
2114,91768,HGNC:25097,Cdk5 and Abl enzyme substrate 1,protein-coding gene,gene with protein product,18q11.2,,,18,q,11,2,,,
2115,9201,HGNC:2700,doublecortin like kinase 1,protein-coding gene,gene with protein product,13q13.3,,,13,q,13,3,,,
2116,9668,HGNC:20810,zinc finger protein 432,protein-coding gene,gene with protein product,19q13.41,Zinc fingers C2H2-type,28,19,q,13,41,,,
2117,9754,HGNC:19161,StAR related lipid transfer domain containing 8,protein-coding gene,gene with protein product,Xq13.1,Rho GTPase activating proteins|StAR-related lipid transfer domain containing,721|759,13,,13,1,,,
2118,2798,HGNC:4421,gonadotropin releasing hormone receptor,protein-coding gene,gene with protein product,4q21.2,Gonadotropin-releasing hormone receptors,227,4,q,21,2,,,
2119,5925,HGNC:9884,retinoblastoma 1,protein-coding gene,gene with protein product,13q14.2,Endogenous ligands,542,13,q,14,2,,,
2120,7253,HGNC:12373,thyroid stimulating hormone receptor,protein-coding gene,gene with protein product,14q24-q31,Glycoprotein hormone receptors,199,14,q,24,,q,,
2121,1141,HGNC:1962,cholinergic receptor nicotinic beta 2 subunit,protein-coding gene,gene with protein product,1q21.3,Cholinergic receptors nicotinic subunits,173,1,q,21,3,,,
2122,3757,HGNC:6251,potassium voltage-gated channel subfamily H member 2,protein-coding gene,gene with protein product,7q36.1,Potassium voltage-gated channels,274,7,q,36,1,,,
2123,3784,HGNC:6294,potassium voltage-gated channel subfamily Q member 1,protein-coding gene,gene with protein product,11p15.5,Potassium voltage-gated channels,274,11,p,15,5,,,
2124,6330,HGNC:10592,sodium voltage-gated channel beta subunit 4,protein-coding gene,gene with protein product,11q23.3,V-set domain containing|Sodium voltage-gated channel beta subunits,590|1204,11,q,23,3,,,
2125,859,HGNC:1529,caveolin 3,protein-coding gene,gene with protein product,3p25,,,3,p,25,,,,
2126,10413,HGNC:16262,Yes associated protein 1,protein-coding gene,gene with protein product,11q13,,,11,q,13,,,,
2127,1621,HGNC:2689,dopamine beta-hydroxylase,protein-coding gene,gene with protein product,9q34,,,9,q,34,,,,
2128,23095,HGNC:16636,kinesin family member 1B,protein-coding gene,gene with protein product,1p36.22,Kinesins|Pleckstrin homology domain containing,622|682,1,p,36,22,,,
2129,3456,HGNC:5434,interferon beta 1,protein-coding gene,gene with protein product,9p22,Interferons,598,9,p,22,,,,
2130,389421,HGNC:32207,lin-28 homolog B,protein-coding gene,gene with protein product,6q21,,,6,q,21,,,,
2131,4004,HGNC:6641,LIM domain only 1,protein-coding gene,gene with protein product,11p15,LIM domain containing,1218,11,p,15,,,,
2132,401237,HGNC:28245,cancer susceptibility candidate 15 (non-protein coding),non-coding RNA,"RNA, long non-coding",6p22.3,Long non-coding RNAs,788,6,p,22,3,,,
2133,4233,HGNC:7029,"MET proto-oncogene, receptor tyrosine kinase",protein-coding gene,gene with protein product,7q31,Receptor Tyrosine Kinases,321,7,q,31,,,,
2134,4513,HGNC:7421,mitochondrially encoded cytochrome c oxidase II,protein-coding gene,gene with protein product,mitochondria,Mitochondrial complex IV: cytochrome c oxidase subunits,643,,,,,,,
2135,4609,HGNC:7553,v-myc avian myelocytomatosis viral oncogene homolog,protein-coding gene,gene with protein product,8q24,Basic helix-loop-helix proteins,420,8,q,24,,,,
2136,4826,HGNC:7860,neuronatin,protein-coding gene,gene with protein product,20q11.2-q12,,,20,q,11,2,q,,
2137,4915,HGNC:8032,neurotrophic receptor tyrosine kinase 2,protein-coding gene,gene with protein product,9q22.1,Receptor Tyrosine Kinases|I-set domain containing,321|593,9,q,22,1,,,
2138,51144,HGNC:18646,hydroxysteroid (17-beta) dehydrogenase 12,protein-coding gene,gene with protein product,11q11,Short chain dehydrogenase/reductase superfamily,743,11,q,11,,,,
2139,57492,HGNC:18040,AT-rich interaction domain 1B,protein-coding gene,gene with protein product,6q25.3,AT-rich interaction domain containing,418,6,q,25,3,,,
2140,57531,HGNC:21033,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,protein-coding gene,gene with protein product,6q21,Ankyrin repeat domain containing,403,6,q,21,,,,
2141,5781,HGNC:9644,"protein tyrosine phosphatase, non-receptor type 11",protein-coding gene,gene with protein product,12q24.1,"SH2 domain containing|Protein tyrosine phosphatases, non-receptor type",741|812,12,q,24,1,,,
2142,65018,HGNC:14581,PTEN induced putative kinase 1,protein-coding gene,gene with protein product,1p36.12,Parkinson disease associated genes,672,1,p,36,12,,,
2143,729177,HGNC:49075,neuroblastoma associated transcript 1,non-coding RNA,"RNA, long non-coding",6p22.3,Long non-coding RNAs,788,6,p,22,3,,,
2144,7869,HGNC:10724,semaphorin 3B,protein-coding gene,gene with protein product,3p21.3,Immunoglobulin-like domain containing|Semaphorins,594|736,3,p,21,3,,,
2145,81704,HGNC:19191,dedicator of cytokinesis 8,protein-coding gene,gene with protein product,9p24.3,,,9,p,24,3,,,
2146,83593,HGNC:17609,Ras association domain family member 5,protein-coding gene,gene with protein product,1q31,Ras association domain family,1198,1,q,31,,,,
2147,84181,HGNC:19057,chromodomain helicase DNA binding protein 6,protein-coding gene,gene with protein product,20q12,Myb/SANT domain containing,532,20,q,12,,,,
2148,10481,HGNC:5112,homeobox B13,protein-coding gene,gene with protein product,17q21.32,HOXL subclass homeoboxes,518,17,q,21,32,,,
2149,2048,HGNC:3393,EPH receptor B2,protein-coding gene,gene with protein product,1p36.1-p35,Fibronectin type III domain containing|Sterile alpha motif (SAM) domain containing|EPH receptors,555|760|1095,1,p,36,1,p,,
2150,4477,HGNC:7372,"microseminoprotein, beta-",protein-coding gene,gene with protein product,10q11.2,,,10,q,11,2,,,
2151,4683,HGNC:7652,nibrin,protein-coding gene,gene with protein product,8q21-q24,,,8,q,21,,q,,
2152,6041,HGNC:10050,ribonuclease L,protein-coding gene,gene with protein product,1q25,Ankyrin repeat domain containing,403,1,q,25,,,,
2153,60528,HGNC:14198,elaC ribonuclease Z 2,protein-coding gene,gene with protein product,17p11.2,,,17,p,11,2,,,
2154,6928,HGNC:11630,HNF1 homeobox B,protein-coding gene,gene with protein product,17q12,HNF class homeoboxes,524,17,q,12,,,,
2155,1040,HGNC:1800,CDP-diacylglycerol synthase 1,protein-coding gene,gene with protein product,4q21,,,4,q,21,,,,
2156,10409,HGNC:957,brain abundant membrane attached signal protein 1,protein-coding gene,gene with protein product,5p15.1,,,5,p,15,1,,,
2157,10653,HGNC:11247,"serine peptidase inhibitor, Kunitz type, 2",protein-coding gene,gene with protein product,19q13.2,,,19,q,13,2,,,
2158,11151,HGNC:2252,coronin 1A,protein-coding gene,gene with protein product,16p11.2,WD repeat domain containing|Coronins,362|495,16,p,11,2,,,
2159,112802,HGNC:28927,keratin 71,protein-coding gene,gene with protein product,12q13.13,"Keratins, type II",609,12,q,13,13,,,
2160,1266,HGNC:2157,calponin 3,protein-coding gene,gene with protein product,1p22-p21,,,1,p,22,,p,,
2161,1289,HGNC:2209,collagen type V alpha 1,protein-coding gene,gene with protein product,9q34.2-q34.3,Collagens,490,9,q,34,2,q,34,3
2162,140738,HGNC:18216,transmembrane protein 37,protein-coding gene,gene with protein product,2q14.2,,,2,q,14,2,,,
2163,1447,HGNC:2447,casein beta,protein-coding gene,gene with protein product,4q21.1,,,4,q,21,1,,,
2164,1448,HGNC:2446,casein kappa,protein-coding gene,gene with protein product,4q21.1,,,4,q,21,1,,,
2165,1468,HGNC:10980,solute carrier family 25 member 10,protein-coding gene,gene with protein product,17q25.3,Solute carriers,752,17,q,25,3,,,
2166,1622,HGNC:2690,"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)",protein-coding gene,gene with protein product,2q12-q21,,,2,q,12,,q,,
2167,1901,HGNC:3165,sphingosine-1-phosphate receptor 1,protein-coding gene,gene with protein product,1p21,Sphingosine 1-phosphate receptors|CD molecules,206|471,1,p,21,,,,
2168,1915,HGNC:3189,eukaryotic translation elongation factor 1 alpha 1,protein-coding gene,gene with protein product,6q14.1,,,6,q,14,1,,,
2169,1984,HGNC:3300,eukaryotic translation initiation factor 5A,protein-coding gene,gene with protein product,17p13-p12,,,17,p,13,,p,,
2170,2052,HGNC:3401,epoxide hydrolase 1,protein-coding gene,gene with protein product,1q42.1,,,1,q,42,1,,,
2171,214,HGNC:400,activated leukocyte cell adhesion molecule,protein-coding gene,gene with protein product,3q13.1,CD molecules|V-set domain containing|C2-set domain containing|Immunoglobulin-like domain containing,471|590|592|594,3,q,13,1,,,
2172,2167,HGNC:3559,fatty acid binding protein 4,protein-coding gene,gene with protein product,8q21.13,Fatty acid binding protein family,550,8,q,21,13,,,
2173,2180,HGNC:3569,acyl-CoA synthetase long-chain family member 1,protein-coding gene,gene with protein product,4q35.1,Acyl-CoA synthetase family,40,4,q,35,1,,,
2174,2628,HGNC:4175,glycine amidinotransferase,protein-coding gene,gene with protein product,15q15.1,,,15,q,15,1,,,
2175,301,HGNC:533,annexin A1,protein-coding gene,gene with protein product,9q21.13,Annexins|Endogenous ligands,404|542,9,q,21,13,,,
2176,302,HGNC:537,annexin A2,protein-coding gene,gene with protein product,15q22.2,Annexins,404,15,q,22,2,,,
2177,3021,HGNC:4765,"H3 histone, family 3B (H3.3B)",protein-coding gene,gene with protein product,17q25.1,Histones,864,17,q,25,1,,,
2178,3178,HGNC:5031,heterogeneous nuclear ribonucleoprotein A1,protein-coding gene,gene with protein product,12q13.1,RNA binding motif containing,725,12,q,13,1,,,
2179,3400,HGNC:5363,"inhibitor of DNA binding 4, HLH protein",protein-coding gene,gene with protein product,6p22.3,Basic helix-loop-helix proteins,420,6,p,22,3,,,
2180,347733,HGNC:30829,tubulin beta 2B class IIb,protein-coding gene,gene with protein product,6p25.2,Tubulins,778,6,p,25,2,,,
2181,3638,HGNC:6083,insulin induced gene 1,protein-coding gene,gene with protein product,7q36,,,7,q,36,,,,
2182,3925,HGNC:6510,stathmin 1,protein-coding gene,gene with protein product,1p36.11,Stathmins,1138,1,p,36,11,,,
2183,3963,HGNC:6568,"lectin, galactoside binding soluble 7",protein-coding gene,gene with protein product,19q13.13,"Lectins, galactoside-binding",629,19,q,13,13,,,
2184,4191,HGNC:6971,malate dehydrogenase 2,protein-coding gene,gene with protein product,7q11.23,,,7,q,11,23,,,
2185,4256,HGNC:7060,matrix Gla protein,protein-coding gene,gene with protein product,12p12.3,,,12,p,12,3,,,
2186,4512,HGNC:7419,mitochondrially encoded cytochrome c oxidase I,protein-coding gene,gene with protein product,mitochondria,Mitochondrial complex IV: cytochrome c oxidase subunits,643,,,,,,,
2187,4692,HGNC:7675,"necdin, MAGE family member",protein-coding gene,gene with protein product,15q11.2,MAGE family,1136,15,q,11,2,,,
2188,5045,HGNC:8568,"furin, paired basic amino acid cleaving enzyme",protein-coding gene,gene with protein product,15q26.1,Proprotein convertase subtilisin/kexin family,973,15,q,26,1,,,
2189,50486,HGNC:30229,G0/G1 switch 2,protein-coding gene,gene with protein product,1q32.2,,,1,q,32,2,,,
2190,51599,HGNC:29572,lipolysis stimulated lipoprotein receptor,protein-coding gene,gene with protein product,19q13.12,Immunoglobulin-like domain containing,594,19,q,13,12,,,
