Gene ID,hgnc_id,name,locus_group,locus_type,location,gene_family,gene_family_id
1235,HGNC:1607,C-C motif chemokine receptor 6,protein-coding gene,gene with protein product,6q27,CD molecules|C-C motif chemokine receptors,471|1091
1244,HGNC:53,ATP binding cassette subfamily C member 2,protein-coding gene,gene with protein product,10q24,ATP binding cassette subfamily C,807
130540,HGNC:14439,amyotrophic lateral sclerosis 2 chromosome region candidate 12,protein-coding gene,gene with protein product,2q33.1,,
1404,HGNC:2380,hyaluronan and proteoglycan link protein 1,protein-coding gene,gene with protein product,5q14.3,V-set domain containing,590
1490,HGNC:2500,connective tissue growth factor,protein-coding gene,gene with protein product,6q23.2,CYR61/CTGF/NOV matricellular proteins,1046
1493,HGNC:2505,cytotoxic T-lymphocyte associated protein 4,protein-coding gene,gene with protein product,2q33,CD molecules|V-set domain containing,471|590
150577,HGNC:49226,long intergenic non-protein coding RNA 1104,non-coding RNA,"RNA, long non-coding",2q11.2,,
1509,HGNC:2529,cathepsin D,protein-coding gene,gene with protein product,11p15.5,Cathepsins,470
151056,HGNC:30041,phospholipase B1,protein-coding gene,gene with protein product,2p23.3,Phospholipases,467
156,HGNC:289,"adrenergic, beta, receptor kinase 1",protein-coding gene,gene with protein product,11q13,Pleckstrin homology domain containing,682
160364,HGNC:31713,C-type lectin domain family 12 member A,protein-coding gene,gene with protein product,12p13.31,CD molecules|C-type lectin domain family,471|494
1656,HGNC:2747,DEAD-box helicase 6,protein-coding gene,gene with protein product,11q23.3,DEAD-box helicases,499
1687,HGNC:2810,"DFNA5, deafness associated tumor suppressor",protein-coding gene,gene with protein product,7p15,,
171425,HGNC:18355,citrate lyase beta like,protein-coding gene,gene with protein product,13q32.3,,
1719,HGNC:2861,dihydrofolate reductase,protein-coding gene,gene with protein product,5q14.1,,
176,HGNC:319,aggrecan,protein-coding gene,gene with protein product,15q26.1,Hyalectan proteoglycans|V-set domain containing|Sushi domain containing,574|590|1179
177,HGNC:320,advanced glycosylation end product-specific receptor,protein-coding gene,gene with protein product,6p21.3,C2-set domain containing|Immunoglobulin-like domain containing,592|594
1776,HGNC:2959,deoxyribonuclease I like 3,protein-coding gene,gene with protein product,3p14.3,,
1803,HGNC:3009,dipeptidyl peptidase 4,protein-coding gene,gene with protein product,2q24.2,CD molecules|DASH family,471|1205
1827,HGNC:3040,regulator of calcineurin 1,protein-coding gene,gene with protein product,21q22.1-q22.2,,
196,HGNC:348,aryl hydrocarbon receptor,protein-coding gene,gene with protein product,7p15,Basic helix-loop-helix proteins,420
200734,HGNC:17722,"sprouty related, EVH1 domain containing 2",protein-coding gene,gene with protein product,2p14,,
2023,HGNC:3350,enolase 1,protein-coding gene,gene with protein product,1p36.2,,
2147,HGNC:3535,"coagulation factor II, thrombin",protein-coding gene,gene with protein product,11p11.2,Endogenous ligands,542
219790,HGNC:19364,rhotekin 2,protein-coding gene,gene with protein product,10q21.3,Pleckstrin homology domain containing,682
2212,HGNC:3616,Fc fragment of IgG receptor IIa,protein-coding gene,gene with protein product,1q23,CD molecules|Immunoglobulin-like domain containing,471|594
221895,HGNC:28917,JAZF zinc finger 1,protein-coding gene,gene with protein product,7p15.2-p15.1,Zinc fingers C2H2-type,28
22806,HGNC:13178,IKAROS family zinc finger 3,protein-coding gene,gene with protein product,17q11.2,Zinc fingers C2H2-type,28
2289,HGNC:3721,FK506 binding protein 5,protein-coding gene,gene with protein product,6p21.31,Tetratricopeptide repeat domain containing|FKBP prolyl isomerases,769|910
23228,HGNC:9064,phospholipase C like 2,protein-coding gene,gene with protein product,3p24.3,C2 domain containing phospholipases,832
23534,HGNC:17103,transportin 3,protein-coding gene,gene with protein product,7q32.2,Importins,596
2356,HGNC:3824,folylpolyglutamate synthase,protein-coding gene,gene with protein product,9q34.11,,
23569,HGNC:18368,peptidyl arginine deiminase 4,protein-coding gene,gene with protein product,1p36.13,Peptidyl arginine deiminases,677
23643,HGNC:17156,lymphocyte antigen 96,protein-coding gene,gene with protein product,8q13.3,,
23766,HGNC:4069,GABA type A receptor associated protein like 3 pseudogene,pseudogene,pseudogene,15q26.1,,
240,HGNC:435,arachidonate 5-lipoxygenase,protein-coding gene,gene with protein product,10q11.2,Arachidonate lipoxygenases,407
26147,HGNC:24566,PHD finger protein 19,protein-coding gene,gene with protein product,9q34.11,PHD finger proteins|Tudor domain containing,88|780
2618,HGNC:4163,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",protein-coding gene,gene with protein product,21q22.11,,
26191,HGNC:9652,"protein tyrosine phosphatase, non-receptor type 22",protein-coding gene,gene with protein product,1p13.2,"Protein tyrosine phosphatases, non-receptor type",812
2625,HGNC:4172,GATA binding protein 3,protein-coding gene,gene with protein product,10p15,GATA zinc finger domain containing,82
2638,HGNC:4187,group-specific component (vitamin D binding protein),protein-coding gene,gene with protein product,4q12-q13,,
285704,HGNC:26896,repulsive guidance molecule family member b,protein-coding gene,gene with protein product,5q21.1,,
2870,HGNC:4545,G protein-coupled receptor kinase 6,protein-coding gene,gene with protein product,5q35,,
2920,HGNC:4603,C-X-C motif chemokine ligand 2,protein-coding gene,gene with protein product,4q13.3,Chemokine ligands|Endogenous ligands,483|542
2974,HGNC:4686,"guanylate cyclase 1, soluble, beta 2 (pseudogene)",pseudogene,pseudogene,13q14.3,"Guanylate cyclases, soluble",820
3059,HGNC:4844,hematopoietic cell-specific Lyn substrate 1,protein-coding gene,gene with protein product,3q13,,
306,HGNC:541,annexin A3,protein-coding gene,gene with protein product,4q21.21,Annexins,404
3115,HGNC:4940,"major histocompatibility complex, class II, DP beta 1",protein-coding gene,gene with protein product,6p21.3,Histocompatibility complex|C1-set domain containing,588|591
3118,HGNC:4943,"major histocompatibility complex, class II, DQ alpha 2",protein-coding gene,gene with protein product,6p21.3,Histocompatibility complex|C1-set domain containing,588|591
3236,HGNC:5133,homeobox D10,protein-coding gene,gene with protein product,2q31.1,HOXL subclass homeoboxes,518
3237,HGNC:5134,homeobox D11,protein-coding gene,gene with protein product,2q31.1,HOXL subclass homeoboxes,518
3239,HGNC:5136,homeobox D13,protein-coding gene,gene with protein product,2q31.1,HOXL subclass homeoboxes,518
326,HGNC:360,autoimmune regulator,protein-coding gene,gene with protein product,21q22.3,PHD finger proteins,88
3290,HGNC:5208,hydroxysteroid (11-beta) dehydrogenase 1,protein-coding gene,gene with protein product,1q32-q41,Short chain dehydrogenase/reductase superfamily,743
3394,HGNC:5358,interferon regulatory factor 8,protein-coding gene,gene with protein product,16q24.1,,
342132,HGNC:33108,zinc finger protein 774,protein-coding gene,gene with protein product,15q26.1,Zinc fingers C2H2-type,28
3458,HGNC:5438,"interferon, gamma",protein-coding gene,gene with protein product,12q14,Interferons,598
3486,HGNC:5472,insulin like growth factor binding protein 3,protein-coding gene,gene with protein product,7p12.3,Insulin-like growth factor binding proteins,1065
3491,HGNC:2654,cysteine rich angiogenic inducer 61,protein-coding gene,gene with protein product,1p22.3,CYR61/CTGF/NOV matricellular proteins,1046
3516,HGNC:5724,recombination signal binding protein for immunoglobulin kappa J region,protein-coding gene,gene with protein product,4p15.2,,
3557,HGNC:6000,interleukin 1 receptor antagonist,protein-coding gene,gene with protein product,2q14.2,Endogenous ligands|Interleukins|Interleukin receptors,542|601|602
3559,HGNC:6008,interleukin 2 receptor subunit alpha,protein-coding gene,gene with protein product,10p15-p14,CD molecules|Interleukin receptors|Sushi domain containing,471|602|1179
356,HGNC:11936,Fas ligand,protein-coding gene,gene with protein product,1q23,CD molecules|Endogenous ligands|Tumor necrosis factor superfamily,471|542|781
3560,HGNC:6009,interleukin 2 receptor subunit beta,protein-coding gene,gene with protein product,22q13,CD molecules|Interleukin receptors,471|602
3570,HGNC:6019,interleukin 6 receptor,protein-coding gene,gene with protein product,1q21,CD molecules|Immunoglobulin-like domain containing|Interleukin receptors,471|594|602
3572,HGNC:6021,interleukin 6 signal transducer,protein-coding gene,gene with protein product,5q11.2,CD molecules|Fibronectin type III domain containing|Interleukin receptors,471|555|602
3576,HGNC:6025,C-X-C motif chemokine ligand 8,protein-coding gene,gene with protein product,4q13-q21,Chemokine ligands|Endogenous ligands|Interleukins,483|542|601
3586,HGNC:5962,interleukin 10,protein-coding gene,gene with protein product,1q31-q32,Interleukins,601
3606,HGNC:5986,interleukin 18,protein-coding gene,gene with protein product,11q23.1,Interleukins,601
3654,HGNC:6112,interleukin 1 receptor associated kinase 1,protein-coding gene,gene with protein product,Xq28,,
3655,HGNC:6142,integrin subunit alpha 6,protein-coding gene,gene with protein product,2q31.1,"CD molecules|Integrin subunits, alpha",471|1160
3663,HGNC:6120,interferon regulatory factor 5,protein-coding gene,gene with protein product,7q32,,
3798,HGNC:6323,kinesin family member 5A,protein-coding gene,gene with protein product,12q13.13,Kinesins,622
3934,HGNC:6526,lipocalin 2,protein-coding gene,gene with protein product,9q34,Lipocalins,631
412,HGNC:11425,"steroid sulfatase (microsomal), isozyme S",protein-coding gene,gene with protein product,Xp22.32,Sulfatases,410
4204,HGNC:6990,methyl-CpG binding protein 2,protein-coding gene,gene with protein product,Xq28,X-linked mental retardation|methyl-CpG binding domain containing,103|1025
4218,HGNC:7007,"RAB8A, member RAS oncogene family",protein-coding gene,gene with protein product,19p13.11,"RAB, member RAS oncogene GTPases",388
4261,HGNC:7067,"class II, major histocompatibility complex, transactivator",protein-coding gene,gene with protein product,16p13,NLR family,666
4282,HGNC:7097,macrophage migration inhibitory factor (glycosylation-inhibiting factor),protein-coding gene,gene with protein product,22q11.23,,
4313,HGNC:7166,matrix metallopeptidase 2,protein-coding gene,gene with protein product,16q12.2,Matrix metallopeptidases,891
4319,HGNC:7156,matrix metallopeptidase 10,protein-coding gene,gene with protein product,11q22.3,Matrix metallopeptidases,891
4321,HGNC:7158,matrix metallopeptidase 12,protein-coding gene,gene with protein product,11q22.2,Matrix metallopeptidases,891
4353,HGNC:7218,myeloperoxidase,protein-coding gene,gene with protein product,17q22,,
4520,HGNC:7428,metal-regulatory transcription factor 1,protein-coding gene,gene with protein product,1p33,,
4524,HGNC:7436,methylenetetrahydrofolate reductase (NAD(P)H),protein-coding gene,gene with protein product,1p36.3,,
4688,HGNC:7661,neutrophil cytosolic factor 2,protein-coding gene,gene with protein product,1q25,Tetratricopeptide repeat domain containing,769
471,HGNC:794,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,protein-coding gene,gene with protein product,2q35,,
4794,HGNC:7799,NFKB inhibitor epsilon,protein-coding gene,gene with protein product,6p21.1,Ankyrin repeat domain containing,403
4795,HGNC:7800,NFKB inhibitor like 1,protein-coding gene,gene with protein product,6p21.3,,
4982,HGNC:11909,tumor necrosis factor receptor superfamily member 11b,protein-coding gene,gene with protein product,8q24,Tumor necrosis factor receptor superfamily,782
50943,HGNC:6106,forkhead box P3,protein-coding gene,gene with protein product,Xp11.23,Forkhead boxes,508
5138,HGNC:8777,phosphodiesterase 2A,protein-coding gene,gene with protein product,11q13.1-q14.1,Phosphodiesterases,681
51744,HGNC:18171,CD244 molecule,protein-coding gene,gene with protein product,1q23.1,CD molecules|Immunoglobulin-like domain containing,471|594
5243,HGNC:40,ATP binding cassette subfamily B member 1,protein-coding gene,gene with protein product,7q21.12,CD molecules|ATP binding cassette subfamily B,471|806
53347,HGNC:12462,ubiquitin associated and SH3 domain containing A,protein-coding gene,gene with protein product,21q22.3,,
5341,HGNC:9070,pleckstrin,protein-coding gene,gene with protein product,2p13.3,Pleckstrin homology domain containing,682
5444,HGNC:9204,paraoxonase 1,protein-coding gene,gene with protein product,7q21.3,Paraoxonases,463
5453,HGNC:9214,POU class 3 homeobox 1,protein-coding gene,gene with protein product,1p34.3,POU class homeoboxes and pseudogenes,523
54826,HGNC:25959,gypsy retrotransposon integrase 1,protein-coding gene,gene with protein product,5q21.1,,
54899,HGNC:23326,PX domain containing serine/threonine kinase like,protein-coding gene,gene with protein product,3p21.2,,
55289,HGNC:25621,acyl-CoA oxidase-like,protein-coding gene,gene with protein product,2q13,,
55755,HGNC:18672,CDK5 regulatory subunit associated protein 2,protein-coding gene,gene with protein product,9q33.3,,
5588,HGNC:9410,protein kinase C theta,protein-coding gene,gene with protein product,10p15,C2 domain containing protein kinases,835
55937,HGNC:13916,apolipoprotein M,protein-coding gene,gene with protein product,6p21,Apolipoproteins|Lipocalins,405|631
55971,HGNC:21649,BAI1 associated protein 2 like 1,protein-coding gene,gene with protein product,7q22.1,,
56244,HGNC:1142,butyrophilin like 2,protein-coding gene,gene with protein product,6p21.3,Butyrophilins|V-set domain containing|C2-set domain containing,458|590|592
5673,HGNC:9522,pregnancy specific beta-1-glycoprotein 5,protein-coding gene,gene with protein product,19q13.2,V-set domain containing|Immunoglobulin-like domain containing|Carcinoembryonic antigen family,590|594|906
56901,HGNC:29836,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2",protein-coding gene,gene with protein product,12q13.3,,
57007,HGNC:23692,atypical chemokine receptor 3,protein-coding gene,gene with protein product,2q37.3,Atypical chemokine receptors,1090
5747,HGNC:9611,protein tyrosine kinase 2,protein-coding gene,gene with protein product,8q24.3,Protein phosphatase 1 regulatory subunits,694
57705,HGNC:29323,WDFY family member 4,protein-coding gene,gene with protein product,10q11.23,WD repeat domain containing|BEACH domain containing ,362|1230
5771,HGNC:9650,"protein tyrosine phosphatase, non-receptor type 2",protein-coding gene,gene with protein product,18p11.3-p11.2,"Protein tyrosine phosphatases, non-receptor type",812
57719,HGNC:29329,anoctamin 8,protein-coding gene,gene with protein product,19p13.12,Anoctamins,865
5788,HGNC:9666,"protein tyrosine phosphatase, receptor type C",protein-coding gene,gene with protein product,1q31-q32,"CD molecules|Fibronectin type III domain containing|Protein tyrosine phosphatases, receptor type",471|555|813
5911,HGNC:9861,"RAP2A, member of RAS oncogene family",protein-coding gene,gene with protein product,13q34,RAS type GTPase family,389
597,HGNC:991,BCL2 related protein A1,protein-coding gene,gene with protein product,15q24.3,Minor histocompatibility antigens|BCL2 family,870|1057
624,HGNC:1030,bradykinin receptor B2,protein-coding gene,gene with protein product,14q32.2,Bradykinin receptors,223
633,HGNC:1044,biglycan,protein-coding gene,gene with protein product,Xq28,Small leucine-rich repeat proteoglycans,573
6355,HGNC:10635,C-C motif chemokine ligand 8,protein-coding gene,gene with protein product,17q11.2,Chemokine ligands|Endogenous ligands,483|542
6366,HGNC:10620,C-C motif chemokine ligand 21,protein-coding gene,gene with protein product,9p13,Chemokine ligands|Endogenous ligands,483|542
6372,HGNC:10643,C-X-C motif chemokine ligand 6,protein-coding gene,gene with protein product,4q13.3,Chemokine ligands|Endogenous ligands,483|542
639,HGNC:9346,PR domain 1,protein-coding gene,gene with protein product,6q21,Zinc fingers C2H2-type|PR domain family,28|1197
640,HGNC:1057,"BLK proto-oncogene, Src family tyrosine kinase",protein-coding gene,gene with protein product,8p23-p22,SH2 domain containing,741
6441,HGNC:10803,surfactant protein D,protein-coding gene,gene with protein product,10q22.2-q23.1,Collectins,491
652,HGNC:1071,bone morphogenetic protein 4,protein-coding gene,gene with protein product,14q22-q23,Bone morphogenetic proteins|Endogenous ligands,455|542
652968,HGNC:34423,GATS protein-like 3,protein-coding gene,gene with protein product,22q12,,
653361,HGNC:7660,neutrophil cytosolic factor 1,protein-coding gene,gene with protein product,7q11.23,,
654,HGNC:1073,bone morphogenetic protein 6,protein-coding gene,gene with protein product,6p24-p23,Bone morphogenetic proteins|Endogenous ligands,455|542
6556,HGNC:10907,solute carrier family 11 member 1,protein-coding gene,gene with protein product,2q35,Solute carriers,752
6583,HGNC:10968,solute carrier family 22 member 4,protein-coding gene,gene with protein product,5q23.3,Solute carriers,752
6611,HGNC:11123,spermine synthase,protein-coding gene,gene with protein product,Xp22.1,,
6772,HGNC:11362,signal transducer and activator of transcription 1,protein-coding gene,gene with protein product,2q32.2-q32.3,SH2 domain containing,741
6775,HGNC:11365,signal transducer and activator of transcription 4,protein-coding gene,gene with protein product,2q32.2-q32.3,SH2 domain containing,741
6821,HGNC:11460,sulfite oxidase,protein-coding gene,gene with protein product,12q13.13,,
7090,HGNC:11839,transducin like enhancer of split 3,protein-coding gene,gene with protein product,15q22,WD repeat domain containing,362
7097,HGNC:11848,toll like receptor 2,protein-coding gene,gene with protein product,4q32,CD molecules|Toll like receptors,471|948
7112,HGNC:11875,thymopoietin,protein-coding gene,gene with protein product,12q22,LEM domain containing,1087
7127,HGNC:11895,TNF alpha induced protein 2,protein-coding gene,gene with protein product,14q32,,
7185,HGNC:12031,TNF receptor associated factor 1,protein-coding gene,gene with protein product,9q33-q34,TNF receptor associated factors,1056
7189,HGNC:12036,TNF receptor associated factor 6,protein-coding gene,gene with protein product,11p12,Ring finger proteins|TNF receptor associated factors,58|1056
7852,HGNC:2561,C-X-C motif chemokine receptor 4,protein-coding gene,gene with protein product,2q21,CD molecules|C-X-C motif chemokine receptors,471|1094
79016,HGNC:28360,DET1 and DDB1 associated 1,protein-coding gene,gene with protein product,19p13.11,,
7917,HGNC:13919,BCL2 associated athanogene 6,protein-coding gene,gene with protein product,6p21.3,BCL2 associated athanogene family,1139
79258,HGNC:14668,membrane metallo-endopeptidase-like 1,protein-coding gene,gene with protein product,1p36,,
79722,HGNC:25681,ankyrin repeat domain 55,protein-coding gene,gene with protein product,5q11.2,Ankyrin repeat domain containing,403
7980,HGNC:11761,tissue factor pathway inhibitor 2,protein-coding gene,gene with protein product,7q,,
800,HGNC:1441,caldesmon 1,protein-coding gene,gene with protein product,7q33,,
8013,HGNC:7982,nuclear receptor subfamily 4 group A member 3,protein-coding gene,gene with protein product,9q22,Nuclear hormone receptors,71
81567,HGNC:21073,thioredoxin domain containing 5,protein-coding gene,gene with protein product,6p24.3,Protein disulfide isomerases,692
81849,HGNC:19342,"ST6 GalNAc alpha-2,6-sialyltransferase 5",protein-coding gene,gene with protein product,1p31.1,Sialyltransferases,438
8200,HGNC:4220,growth differentiation factor 5,protein-coding gene,gene with protein product,20q11.2,,
8320,HGNC:3372,eomesodermin,protein-coding gene,gene with protein product,3p24.1,T-boxes,766
84159,HGNC:17362,AT-rich interaction domain 5B,protein-coding gene,gene with protein product,10q11.22,AT-rich interaction domain containing,418
84162,HGNC:26953,KIAA1109,protein-coding gene,gene with protein product,4q28.1,,
84709,HGNC:29969,mitochondria localized glutamic acid rich protein,protein-coding gene,gene with protein product,4q31.1,,
84752,HGNC:28714,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9",protein-coding gene,gene with protein product,16q22.1,Beta 3-glycosyltransferases,426
85313,HGNC:15702,peptidylprolyl isomerase like 4,protein-coding gene,gene with protein product,6q25.1,RNA binding motif containing|Cyclophilin peptidylprolyl isomerases,725|909
858,HGNC:1528,caveolin 2,protein-coding gene,gene with protein product,7q31,,
860,HGNC:10472,runt related transcription factor 2,protein-coding gene,gene with protein product,6p21,,
8604,HGNC:10982,solute carrier family 25 member 12,protein-coding gene,gene with protein product,2q24,Solute carriers|EF-hand domain containing,752|863
861,HGNC:10471,runt related transcription factor 1,protein-coding gene,gene with protein product,21q22.3,,
8714,HGNC:54,ATP binding cassette subfamily C member 3,protein-coding gene,gene with protein product,17q21,ATP binding cassette subfamily C,807
8740,HGNC:11930,tumor necrosis factor superfamily member 14,protein-coding gene,gene with protein product,19p13.3,CD molecules|Tumor necrosis factor superfamily,471|781
8764,HGNC:11912,tumor necrosis factor receptor superfamily member 14,protein-coding gene,gene with protein product,1p36.32,CD molecules|Tumor necrosis factor receptor superfamily,471|782
8836,HGNC:4248,gamma-glutamyl hydrolase,protein-coding gene,gene with protein product,8q12.3,,
90355,HGNC:25052,chromosome 5 open reading frame 30,protein-coding gene,gene with protein product,5q21.1,,
9052,HGNC:9836,G protein-coupled receptor class C group 5 member A,protein-coding gene,gene with protein product,12p13.1,"G protein-coupled receptors, Class C orphans",285
9135,HGNC:17677,"rabaptin, RAB GTPase binding effector protein 1",protein-coding gene,gene with protein product,17p13.2,,
9145,HGNC:11498,synaptogyrin 1,protein-coding gene,gene with protein product,22q13,,
916,HGNC:1674,CD3e molecule,protein-coding gene,gene with protein product,11q23,CD molecules,471
921,HGNC:1685,CD5 molecule,protein-coding gene,gene with protein product,11q13,CD molecules,471
9308,HGNC:1703,CD83 molecule,protein-coding gene,gene with protein product,6p23,CD molecules|V-set domain containing,471|590
9355,HGNC:6594,LIM homeobox 2,protein-coding gene,gene with protein product,9q33.3,LIM class homeoboxes,522
9370,HGNC:13633,"adiponectin, C1Q and collagen domain containing",protein-coding gene,gene with protein product,3q27,Endogenous ligands,542
940,HGNC:1653,CD28 molecule,protein-coding gene,gene with protein product,2q33,CD molecules|V-set domain containing,471|590
9415,HGNC:3575,fatty acid desaturase 2,protein-coding gene,gene with protein product,11q12.2,Fatty acid desaturases,553
9429,HGNC:74,ATP binding cassette subfamily G member 2 (Junior blood group),protein-coding gene,gene with protein product,4q22.1,Blood group antigens|CD molecules|ATP binding cassette subfamily G,454|471|811
9474,HGNC:589,autophagy related 5,protein-coding gene,gene with protein product,6q21,Autophagy related,1022
958,HGNC:11919,CD40 molecule,protein-coding gene,gene with protein product,20q12-q13.2,CD molecules|Tumor necrosis factor receptor superfamily,471|782
4049,HGNC:6709,lymphotoxin alpha,protein-coding gene,gene with protein product,6p21.3,Tumor necrosis factor superfamily,781
4210,HGNC:6998,Mediterranean fever,protein-coding gene,gene with protein product,16p13.3,Tripartite motif-containing|Pyrin domain containing,59|994
4929,HGNC:7981,nuclear receptor subfamily 4 group A member 2,protein-coding gene,gene with protein product,2q22-q23,Nuclear hormone receptors,71
64127,HGNC:5331,nucleotide binding oligomerization domain containing 2,protein-coding gene,gene with protein product,16q12,NLR family|Caspase recruitment domain containing,666|959
968,HGNC:1693,CD68 molecule,protein-coding gene,gene with protein product,17p13,CD molecules,471
10533,HGNC:16935,autophagy related 7,protein-coding gene,gene with protein product,3p25.3-p25.2,Ubiquitin-like activating enzymes|Autophagy related,100|1022
113235,HGNC:30521,solute carrier family 46 member 1,protein-coding gene,gene with protein product,17q11.2,Solute carriers,752
142,HGNC:270,poly(ADP-ribose) polymerase 1,protein-coding gene,gene with protein product,1q41-q42,Zinc fingers|Zinc fingers PARP-type|Poly(ADP-ribose) polymerases,26|94|684
1440,HGNC:2438,colony stimulating factor 3,protein-coding gene,gene with protein product,17q11.2-q12,Endogenous ligands,542
183,HGNC:333,angiotensinogen,protein-coding gene,gene with protein product,1q42.2,Endogenous ligands|Serpin peptidase inhibitors,542|739
30061,HGNC:10909,solute carrier family 40 member 1,protein-coding gene,gene with protein product,2q32,Solute carriers,752
3240,HGNC:5141,haptoglobin,protein-coding gene,gene with protein product,16q22.2,Sushi domain containing,1179
3481,HGNC:5466,insulin like growth factor 2,protein-coding gene,gene with protein product,11p15.5,,
3562,HGNC:6011,interleukin 3,protein-coding gene,gene with protein product,5q31.1,Interleukins,601
374569,HGNC:20123,asparaginase,protein-coding gene,gene with protein product,14q32.33,Ankyrin repeat domain containing,403
51312,HGNC:29786,solute carrier family 25 member 37,protein-coding gene,gene with protein product,8p21.2,Solute carriers,752
538,HGNC:869,ATPase copper transporting alpha,protein-coding gene,gene with protein product,Xq21.1,ATPase copper transporting,1212
5617,HGNC:9445,prolactin,protein-coding gene,gene with protein product,6p22.3,Growth hormone family,1175
5741,HGNC:9606,parathyroid hormone,protein-coding gene,gene with protein product,11p15.3,Endogenous ligands,542
57817,HGNC:15598,hepcidin antimicrobial peptide,protein-coding gene,gene with protein product,19q13.1,,
7298,HGNC:12441,thymidylate synthetase,protein-coding gene,gene with protein product,18p11.31-p11.21,,
8797,HGNC:11904,tumor necrosis factor receptor superfamily member 10a,protein-coding gene,gene with protein product,8p21,CD molecules|Tumor necrosis factor receptor superfamily,471|782
10232,HGNC:7371,mesothelin,protein-coding gene,gene with protein product,16p13.3,,
1956,HGNC:3236,epidermal growth factor receptor,protein-coding gene,gene with protein product,7p12,Erb-b2 receptor tyrosine kinases,1096
2064,HGNC:3430,erb-b2 receptor tyrosine kinase 2,protein-coding gene,gene with protein product,17q11.2-q12,CD molecules|Minor histocompatibility antigens|Erb-b2 receptor tyrosine kinases,471|870|1096
2263,HGNC:3689,fibroblast growth factor receptor 2,protein-coding gene,gene with protein product,10q25.3-q26,Receptor Tyrosine Kinases|CD molecules|I-set domain containing,321|471|593
2778,HGNC:4392,GNAS complex locus,protein-coding gene,gene with protein product,20q13.2-q13.3,Granins,925
3417,HGNC:5382,isocitrate dehydrogenase 1 (NADP+),protein-coding gene,gene with protein product,2q34,,
3418,HGNC:5383,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",protein-coding gene,gene with protein product,15q26.1,,
3845,HGNC:6407,Kirsten rat sarcoma viral oncogene homolog,protein-coding gene,gene with protein product,12p12.1,RAS type GTPase family,389
4089,HGNC:6770,SMAD family member 4,protein-coding gene,gene with protein product,18q21.1,SMAD family,750
5178,HGNC:8826,paternally expressed 3,protein-coding gene,gene with protein product,19q13.4,Zinc fingers C2H2-type,28
54894,HGNC:18505,ring finger protein 43,protein-coding gene,gene with protein product,17q23.2,Ring finger proteins,58
55193,HGNC:30064,polybromo 1,protein-coding gene,gene with protein product,3p21,,
5566,HGNC:9380,protein kinase cAMP-activated catalytic subunit alpha,protein-coding gene,gene with protein product,19p13.1,,
5567,HGNC:9381,protein kinase cAMP-activated catalytic subunit beta,protein-coding gene,gene with protein product,1p36.1,,
5774,HGNC:9655,"protein tyrosine phosphatase, non-receptor type 3",protein-coding gene,gene with protein product,9q31,"Protein tyrosine phosphatases, non-receptor type|PDZ domain containing",812|1220
58508,HGNC:13726,lysine methyltransferase 2C,protein-coding gene,gene with protein product,7q36,PHD finger proteins|Lysine methyltransferases,88|487
6092,HGNC:10250,roundabout guidance receptor 2,protein-coding gene,gene with protein product,3p12.3,Fibronectin type III domain containing|I-set domain containing,555|593
6528,HGNC:11040,solute carrier family 5 member 5,protein-coding gene,gene with protein product,19p13.11,Solute carriers,752
8289,HGNC:11110,AT-rich interaction domain 1A,protein-coding gene,gene with protein product,1p36.1-p35,AT-rich interaction domain containing,418
8314,HGNC:950,BRCA1 associated protein 1,protein-coding gene,gene with protein product,3p21.1,Ubiquitin C-terminal hydrolases,998
1027,HGNC:1785,cyclin-dependent kinase inhibitor 1B,protein-coding gene,gene with protein product,12p13.1-p12,,
1616,HGNC:2681,death-domain associated protein,protein-coding gene,gene with protein product,6p21.3,,
4221,HGNC:7010,menin 1,protein-coding gene,gene with protein product,11q13,,
546,HGNC:886,alpha thalassemia/mental retardation syndrome X-linked,protein-coding gene,gene with protein product,Xq21.1,X-linked mental retardation|RNA helicases,103|1168
5744,HGNC:9607,parathyroid hormone-like hormone,protein-coding gene,gene with protein product,12p12.1-p11.2,Endogenous ligands,542
673,HGNC:1097,"B-Raf proto-oncogene, serine/threonine kinase",protein-coding gene,gene with protein product,7q34,Mitogen-activated protein kinase kinase kinases|RAF family,654|1157
6751,HGNC:11330,somatostatin receptor 1,protein-coding gene,gene with protein product,14q13,Somatostatin receptors,257
6752,HGNC:11331,somatostatin receptor 2,protein-coding gene,gene with protein product,17q24,Somatostatin receptors,257
6753,HGNC:11332,somatostatin receptor 3,protein-coding gene,gene with protein product,22q13.1,Somatostatin receptors,257
114609,HGNC:17192,toll-interleukin 1 receptor (TIR) domain containing adaptor protein,protein-coding gene,gene with protein product,11q24.2,,
1154,HGNC:1984,cytokine inducible SH2 containing protein,protein-coding gene,gene with protein product,3p21.3,SH2 domain containing|Suppressors of cytokine signaling,741|764
1378,HGNC:2334,complement component 3b/4b receptor 1 (Knops blood group),protein-coding gene,gene with protein product,1q32,Blood group antigens|CD molecules|Complement system|Sushi domain containing,454|471|492|1179
